Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Реле РНФ-1М з.п. (ЧЭАЗ г.Чебоксары),8536490000,141.75,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-11 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,140,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-12 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,80.8,Да,,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-16-1 4з.2р -220В (ЧЭАЗ г.Чебоксары),8536490000,100,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-16-4. -220В -0.5 А (ЧЭАЗ г.Чебоксары),8536490000,37.13,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-16-4. -220В -1 А (ЧЭАЗ г.Чебоксары),8536490000,37.13,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-16-7 4з.2р АС220В (ЧЭАЗ г.Чебоксары),8536490000,100,Да,,30.07.2020,~220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-18-5 =220 В(ЧЭАЗ г.Чебоксары),8536490000,113.33,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-18-74 =220 В(ЧЭАЗ г.Чебоксары),8536490000,113.33,Да,,30.07.2020,Код 27 387 035 2 замык 3 размык,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-21М-004 -110В(пост.ток) с колодкой типа 2 (4 переключающих),8536490000,20,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-21М-004 -220В(пост.ток) с колодкой типа 2 (4 переключающих),8536490000,20,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-21М-004 -60В(пост.ток) с колодкой типа 2 (4 переключающих),8536490000,20,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-23 з.п. (ЧЭАЗ г.Чебоксары),8536490000,41.1,Да,,16.08.2018,220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-232 з.п. 0.5А (ЧЭАЗ г.Чебоксары),8536490000,41.1,Да,,16.08.2018,220 В 0.5А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-25 з.п. (ЧЭАЗ г.Чебоксары),8536490000,31.05,Да,,19.05.2015,220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-251 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,50.63,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-252 220В з.п. (ЧЭАЗ г.Чебоксары),8536490000,50.63,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-256 220В з.п. (ЧЭАЗ г.Чебоксары),8536490000,50.63,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП-361 5Аз.п.(ЧЭАЗ г.Чебоксары),8536490000,105.4,Да,,16.08.2018,5А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП321 з.п.(ЧЭАЗ г.Чебоксары),8536490000,208,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РП341 5А з.п.(ЧЭАЗ г.Чебоксары),8536490000,106,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РПВ-01 з.п.(ЧЭАЗ г.Чебоксары),8536490000,255.83,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РСВ-13-18 з.п (ЧЭАЗ г.Чебоксары),8536490000,325,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РСТ-42 ВУ 10/03-2-2/-/4/1-1-УХЛ4 (РЕОН ТЕХНО) без дешунтирования,8536490000,220,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТ-40/100 з.п(ЧЭАЗ г.Чебоксары),8536490000,41.18,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТ40/10 з.п. (ЧЭАЗ г.Чебоксары),8536490000,53.7,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,10,0
Реле РТ40/2 з.п. (ЧЭАЗ г.Чебоксары),8536490000,41.18,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТ40/50 з.п. (ЧЭАЗ г.Чебоксары),8536490000,41.18,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТ40/6 з.п. (ЧЭАЗ г.Чебоксары),8536490000,60,Да,,30.07.2020,6 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТВ-I для привода ППО 5-10 А,8536490000,410,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТВ-IV,8536490000,300,Да,,14.01.2015,Для привода ПП-67,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТД11-01. =220 В 0.05А (ЧЭАЗ г.Чебоксары),8536490000,71.55,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТМ для привода ППО 5-200 А,8536490000,410,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТМ-II,8536490000,300,Да,,14.01.2015,Для привода ПП-67,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РТМ-III,8536490000,300,Да,,14.01.2015,Для привода ПП-67,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21 -0.1А з.п. (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Нет,,15.04.2015,0.1 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21/0.016 з.п. (ЧЭАЗ г.Чебоксары) (перем.ток),8536490000,46,Да,ЧЭАЗ,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,,Нет,,,0
Реле РУ-21/0.016 з.п. (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,ЧЭАЗ,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21/0.05 з.п. (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21/0.05 з.п.(ЧЭАЗ г.Чебоксары) (перем.ток),8536490000,46,Да,,16.08.2018,0.05 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21/0.16 з.п. (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,,16.08.2018,0.016,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ-21/220 з.п.(ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,,15.04.2015,220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ21/0.16 з.п.(ЧЭАЗ г.Чебоксары) (перем.ток),8536490000,46,Да,,16.08.2018,0.16 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ21/0.25 з.п.(ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,,16.08.2018,0.25 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РУ21/0.5 з.п.(ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,46,Да,,16.08.2018,0.5 А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЭУ-11-21-5-40У3 230В.50Гц,8536490000,56.5,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЭУ11-0.05 (ЧЭАЗ г.Чебоксары) (перем.ток),8536490000,56.5,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЭУ11-0.16 (ЧЭАЗ г.Чебоксары) (перем.ток),8536490000,60,Да,,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЭУ11-0.25 (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,56.5,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЭУ11-0.5 (ЧЭАЗ г.Чебоксары) (пост.ток),8536490000,56.5,Да,,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле finder 55.33.8.230.000 (~230V AC),8536490000,7.72,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле finder 62.33.8.230.0040 (~230V АC),8536490000,11.9,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле finder 62.33.9.220.0040 (-220V DC),8536490000,16.4,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле R4N-2014-23-1220-WT DC220В 6A 4 ноз,8536490000,10,Да,Relpol,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле RUC-1013-26-1220-K DC220В 16А 3 ноз,8536490000,24,Да,Relpol,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле RUC-1013-26-3220-K АC220В 16А 3ноз,8536490000,20,Да,Relpol,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Релейная панель,853710,150,Нет,ЦРО,,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
Релейный модуль RIF-2-RPT-LV-230AC-4X21 (Foenix contakt) №2903304 с реле REL-IR4/L-230AC/4X21,8536490000,16.8,Да,PHOENIX CONTACT,01.08.2015,230 V AC,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Ретом ВЧ,9031200000,1000,Да,НПП Динамика,14.01.2015,,,1.1 Электротехническое оборудование: Поверочное оборудование,Нет,Нет,Нет,шт.,Нет,,,0
"Ретом-21 (НПП ""Динамика"" г.Чебоксары)",9031200000,2000,Да,НПП Динамика,14.01.2015,,,1.1 Электротехническое оборудование: Поверочное оборудование,Нет,Нет,Нет,шт.,Нет,,,0
"Ретометр (НПП ""Динамика"" г.Чебоксары)",9031200000,200,Да,НПП Динамика,14.01.2015,,,1.1 Электротехническое оборудование: Поверочное оборудование,Нет,Нет,Нет,шт.,Нет,,,0
Решетка вентиляционная 250Х170мм с сеткой. белая,8536,10,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Розетка двухполюсная Рар-3-ОП 250В.16А,8536,6.53,Нет,,30.07.2020,,,Розетки.выключатели. установочные изделия,Нет,Нет,Нет,шт.,Нет,,,0
Розетка евро с заземлением на дин-рейку 220В 16А,8536,18,Нет,,16.08.2018,,,Розетки.выключатели. установочные изделия,Нет,РБ,Нет,шт.,Нет,,,0
Розетки внешние ОП РА-10-001,8536,2.8,Нет,,16.08.2018,10А,,Розетки.выключатели. установочные изделия,Нет,РБ,Нет,шт.,Нет,,,0
Сверло по металлу 11мм,8207503000,5,Да,,09.04.2021,С цилиндричиским хвостиком 10мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Сверло по металлу 12мм,8207503000,5,Да,,09.04.2021,С цилиндричиским хвостиком 10мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Сверло по металлу 3.0 мм,8207503000,2,Да,,09.04.2021,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Сверло по металлу 4.0мм,8207503000,2,Да,,09.04.2021,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Сверло по металлу 5.0мм,8207503000,3,Да,,09.04.2021,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,,,,
Светильник светодиодный 12Вт 220В,8536,18,Нет,,16.08.2018,,,Лампы светодиодные,Нет,РБ,Нет,шт.,Нет,,,0
Светильник светодиодный 36Вт 220В 3000 Лм 1200мм,8536,25,Нет,,23.07.2021,36W 220V 6500K 3000Lm 1200мм,,Лампы светодиодные,Нет,РБ,Нет,шт.,Нет,,,0
Стул со спинкой,9401610000,85,Нет,,05.07.2019,,,Хозтовары и хозинветарь,Нет,Есть,Есть,шт.,Да,,,0
Средство от укусов комаров и клещей,4814907009,5,нет,,09.04.2021,,,Хозтовары и хозинветарь,Нет,Есть,Нет,,,,,
"Счетчик эл.энергии перем. Тока стат. ""ГРАН-ЭЛЕКТРО СС-301.5.1/U/1""3x230/400 5(40)А кл.1RS-485",902830,441,Нет,,15.02.2015,,,2.1 Комплектующие и материалы: электросчётчики,Нет,РБ,Есть,шт.,Нет,,,0
"Счетчик эл.энергии СС301.5.1/Р(L) K RS-485 ""3х57.7/100В 5(7.5)А кл.0.5S",902830,522.29,Нет,,16.08.2018,,Двухпортовый,2.1 Комплектующие и материалы: электросчётчики,Нет,РБ,Есть,шт.,Нет,,,0
"Счетчик эл.энергии СС301.5.1/Р(L) KC ""3х57.7/100В 5(7.5)А кл.0.5S RS-485 без импульсных выходов. модуль расширения RS-485",902830,522.29,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: электросчётчики,Нет,РБ,Есть,шт.,Нет,,,0
Табло светодиодное AD26A-102x31,8536,11.27,Нет,ОДО БСВэлектро,15.08.2015,,http://bsvelectro.com/content/view/133/109/,Лампы светодиодные,Нет,РБ,Нет,шт.,Нет,,,2
Табло сигнальное СПИУ -5А-Ж-220-ТСБ,8536,161.44,Нет,,15.03.2015,,,Лампы светодиодные,Нет,РБ,Нет,шт.,Нет,,,0
Терминал управления ДГК Бреслер,8536,3500,Да,,14.01.2015,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Терминал центральной сигнализации ТЦС-100(РУП БЭМН),8536,2826.7,Нет,"РУП ""БЭМН""",04.09.2019,220 В,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Да,РБ,Есть,шт.,Нет,,,0
Термос армейский 6 литров пищевой нержавеющая колба,,150,Нет,,29.06.2020,Материал колбы и корпуса нержавеющая сталь,,,,,,,Нет,,,0
Термостат на нагрев ST0 011,8536,24.76,Да,STEGO,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Термостат на охлаждение STS 011,8536,20.63,Да,STEGO,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Трансформатор 100/220 В 1кВт,8536,60,Нет,,30.07.2020,,,Трансформаторы вспомогательные,Нет,РБ,Нет,шт.,Нет,,,0
Трансформатор 220/12 В малогабаритный 100 Вт,8536,60,Нет,,30.07.2020,,,Трансформаторы вспомогательные,Нет,РБ,Нет,шт.,Нет,,,0
Трансформатор 220/220 В 1кВт,8536,60,Нет,,30.07.2020,,,Трансформаторы вспомогательные,Нет,РБ,Нет,шт.,Нет,,,0
Трансформатор тока Т-0.66 0.5S 75/5,8536,22.65,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Комплектные трансформаторные подстанции. реакторы всех типов. измерительные трансформаторы (тока. напряжения),Нет,РБ,Нет,шт.,Нет,,,0
Трос ленточный буксировочный,5607491100,30,нет,,21.10.2020,"Длина 5 метров. максимальная нагрузка 5 т.
количество крюков 2.",,Хозтовары и хозинветарь,нет,есть,нет,шт.,да,,,0
Труба гофрированная ПВХ 20мм с зондом,8536,0.33,Да,,30.07.2020,,,Изоляционные материалы,Нет,Нет,Нет,м,Нет,,,0
Трубка ПВХ 12мм. м,8536,0.39,Нет,,30.07.2020,белая,,Изоляционные материалы,Нет,РБ,Нет,м,Нет,,,0
Трубка ПВХ 4мм. м,8536,0.36,Нет,,16.08.2018,белая,,Изоляционные материалы,Нет,РБ,Нет,м,Нет,,,0
Трубка ПВХ для печати маркировки провода и кабеля диаметром 4.0 мм 200м,8536,120,Нет,,28.01.2020,IB 4020 бренд Mark Series или аналог,,Изоляционные материалы,Нет,Нет,Нет,рулон,Нет,,,0
Трубка термоусаживаемая d8мм прозрачная (м),8536,0.9,Да,,03.05.2021,термоусаживаемая d8мм прозрачная,,Изоляционные материалы,Нет,Нет,Нет,м,Нет,,,0
"Трубка ТВ-40 ПВХ d4мм ""кембрик"" (м)",8536,0.26,Да,,28.01.2020,Rexant 49-5004,,Изоляционные материалы,Нет,Нет,Нет,м,Нет,,,0
"Трубка ТВ-40 ПВХ d7мм ""кембрик"" (м)",8536,0.5,Нет,,28.01.2020,Rexant 49-5007 или аналог,,Изоляционные материалы,Нет,РБ,Нет,м,Нет,,,0
Уайт-спирит нефрас С4 1литр,8203,7,Нет,Нафтан,11.03.2021,С-4-150/200. бесцветный,,Строительные материалы,Нет,Есть,Нет,шт.,да,,,
Указатель положений УП 8514/2 ,8536,600,Нет,"МНПП ""Электроприбор""",03.11.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,
Упоры для DIN-рейки,8536,0.48,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Устройство дуговой защиты МДО1(БЭМН),8536,661.8,Нет,"РУП ""БЭМН""",16.08.2018,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Устройство дуговой защиты УДЗ. ПС-4 /ДО-2 – 2. У3,8536,912,Нет,СинтезЭлектро,17.03.2017,2 оптоволокна с самотестированием,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Устройство дуговой защиты УДЗ. ПС-4 /ДО-2 – 3. У3,8536,1000,Нет,СинтезЭлектро,17.03.2017,3 оптоволокна с самотестированием,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Устройство дуговой защиты УДЗ. ПС-4 /ДО-2 – 4. У3,8536,1020,Нет,СинтезЭлектро,17.03.2017,4 оптоволокна,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Устройство защиты компьютерной сети от перенапряжений,8536,85,Да,,14.01.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Устройство измерительное Е 855/2ЭС-Ц 75-125В,8536,240,Нет,,,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Устройство измерительное Е 855/2ЭС-Ц.3 0-125В,8536,240,Нет,,,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Устройство измерительное Е 855/2ЭС-Ц.3 0-400В,8536,240,Нет,,,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Устройство измерительное ЦП 9010У-4-3-4,8536,1162,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Устройство испытательное РЕТОМ-21.2 с аксессуарами,8203,11160,Да,,15.03.2015,,,1.1 Электротехническое оборудование: Поверочное оборудование,Нет,Нет,Нет,шт.,Нет,,,0
Устройство контроля напряжения сигнальное (УКНС),8536,300,Нет,"ОАО ""БЭРН""",,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Устройство контроля пульсаций (УКП),8536,300,Нет,"ОАО ""БЭРН""",,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Устройство сигнализации ПС-7,8536,912,Нет,СинтезЭлектро,17.03.2017,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Устройство Сириус-2-ОМП,8536,3400,Нет,"ЗАО ""Радиус-Автоматика""",04.09.2019,,,Электроаппараты,,,,,Нет,,,0
Утконосы 160мм(DIN ISO 5745. 64НRC. 1000V),8203,30,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Утконосы наклонные 160мм(DIN ISO 5745. 64НRC.1000V),8203,30,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Фиксатор МВА для цоколя GUC,8536,0.48,Да,Relpol,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Фиксатор G4 для цоколей GZT,8536,0.23,Да,Relpol,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Фиксирующий индикатор Пума 1100,8536,2120,Нет,,14.01.2015,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Фиксирующий индикатор Пума 2300,8536,1424,Нет,,14.01.2015,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Фильтр присоединения ФПО 110 6.4/140-600,8536,219.3,Да,,14.01.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Фильтр присоединения ФПО 110 6.4/36-140,8536,219.3,Да,,14.01.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Фототиристор ТФ 132-25-10-1У3,8203,16,Нет,,09.01.2019,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Фронтальные клещи автоматические для гильзовых наконечников 0.14-6 мм2,8203,124,Да,,25.03.2015,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Хомут нейлон 3Х100 уп- 100шт.,8536,1.8,Нет,,16.08.2018,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Хомут нейлон 3Х150 уп- 100шт.,8536,1.8,Нет,,16.08.2018,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Хомут нейлон3.6х 150 уп-100шт.,8536,1.8,Нет,,16.08.2018,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Хомут нейлон3.6х 200 уп-100шт.,8536,1.8,Нет,,16.08.2018,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Хомут нейлон3х 200 уп-100шт.,8536,1.8,Нет,,16.08.2018,,,Изоляционные материалы,Нет,РБ,Нет,шт.,Нет,,,0
Цифровое устройство оперативной блокировки СИРИУС-2ОБ,8536,6800,Да,"ЗАО ""Радиус-Автоматика""",14.12.2016,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦА 9254 Р 4 1 0 1 2,9030331000,380,Нет,Энергосоюз,06.10.2017,0-5 А. питание ~=220 В. цвет индикатора – зеленый,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦВ 9255 Р 1 1 0 1 2 (10000/100),9030331000,380,Нет,Энергосоюз,06.10.2017,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦВ 9255 Р 1 1 0 1 2 (110000/100),9030331000,380,Нет,Энергосоюз,06.10.2017,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦВ 9255 Р 1 1 0 1 2 (35000/100),9030331000,380,Нет,Энергосоюз,06.10.2017,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦП8501/14,9030331000,500,Нет,,30.07.2020,Iвх=0-5А. Iвых=4-20мА. RS485. 220В. кл.точности 0.5,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
